accent,word,yomi,english
ヒ/ッス,必須,ひっす,
ヒ/ッタクリ,引っ手繰り,ひったくり,
ヒ/ッチャク,必着,ひっちゃく,
ヒ\ット,ヒット,ひっと,hit
ヒ/ッパ\ル,引っ張る,ひっぱる,
ヒ/ツジ,羊,ひつじ,
ヒ/ツゼン,必然,ひつぜん,
ヒ/ツヨウ,必要,ひつよう,
ヒ/ヅケ,日付,ひづけ,
ヒ/テイ,否定,ひてい,
ヒ/ト,人,ひと,
ヒ/ト\クチ,一口,ひとくち,
ヒ/ト\コト,一言,ひとこと,
ヒ/トシ\イ,等しい,ひとしい,
ヒ/トバ\シラ,人柱,ひとばしら,
ヒ/ト\ビト,人々,ひとびと,
ヒ/トミ,瞳,ひとみ,
ヒ/トメ,人目,ひとめ,
ヒ/ト\メ,一目,ひとめ,
ヒ\トラー,ヒトラー,ひとらー,Hitler
ヒ/ト\リ,一人,ひとり,
ヒ/トリグ\ラシ,一人暮らし,ひとりぐらし,
ヒ/トリヒト\リ,一人一人,ひとりひとり,
ヒ/ド\イ,酷い,ひどい,
ヒ/ド\イ,ヒドイ,ひどい,
ヒ\ナ,雛,ひな,
ヒ\ナン,批難,ひなん,
ヒ\ナン,避難,ひなん,
ヒ\ナン,非難,ひなん,
ヒ/ニク,皮肉,ひにく,
ヒ/ニチ,日にち,ひにち,
ヒ/ネ\ル,捻る,ひねる,
ヒ/ノ,日野,ひの,
ヒ/ハン,批判,ひはん,
ヒ/ヒョウ,批評,ひひょう,
ヒ\ビ,日々,ひび,
ヒ/ビ\,ヒビ,ひび,
ヒ/ビキ\,響き,ひびき,
ヒ/ビ\ク,響く,ひびく,
ヒ/ビヤ,日比谷,ひびや,
ヒ\フ,皮膚,ひふ,
ヒ/フカ,皮膚科,ひふか,
ヒ/ボウ,誹謗,ひぼう,
ヒ/ボウチュウショウ,誹謗中傷,ひぼうちゅうしょう,
ヒ/マ,暇,ひま,
ヒ/ミツ,秘密,ひみつ,
ヒ\メ,姫,ひめ,
ヒ/メイ,悲鳴,ひめい,
ヒ/メジ,姫路,ひめじ,
ヒ/メジ\シ,姫路市,ひめじし,
ヒ/モ,紐,ひも,
ヒャ/ク\,百,ひゃく,
ヒャ/クショ\ウ,百姓,ひゃくしょう,
ヒャ/クジュウキュ\ウバン,119番,ひゃくじゅうきゅうばん,
ヒャ/クト\オバン,110番,ひゃくとおばん,
ヒ/ヤク,飛躍,ひやく,
ヒ/ヤケ,日焼け,ひやけ,
ヒ/ヤケドメ,日焼け止め,ひやけどめ,
ヒ/ヤ\ス,冷やす,ひやす,
ヒョ/ウ,票,ひょう,
ヒョ/ウ,表,ひょう,
ヒョ\ウカ,評価,ひょうか,
ヒョ\ウキ,表記,ひょうき,
ヒョ/ウゲ\ン,表現,ひょうげん,
ヒョ\ウゴ,兵庫,ひょうご,
ヒョ/ウゴ\ケン,兵庫県,ひょうごけん,
ヒョ/ウシ,拍子,ひょうし,
ヒョ/ウシ,表紙,ひょうし,
ヒョ/ウシキ,標識,ひょうしき,
ヒョ/ウショウ,表象,ひょうしょう,
ヒョ/ウジ,表示,ひょうじ,
ヒョ/ウジュン,標準,ひょうじゅん,
ヒョ/ウジョ\ウ,表情,ひょうじょう,
ヒョ/ウバン,評判,ひょうばん,
ヒョ/ウメイ,表明,ひょうめい,
ヒョ/ウメ\ン,表面,ひょうめん,
ヒョ/ウロン,評論,ひょうろん,
ヒョ/ットシテ,ひょっとして,ひょっとして,
ヒ\ヨウ,費用,ひよう,
ヒ/ラガ\ナ,平仮名,ひらがな,
ヒ/ラ\ク,開く,ひらく,
ヒ/ラタ,平田,ひらた,
ヒ\ラノ,平野,ひらの,
ヒ/ラヤマ,平山,ひらやま,
ヒ/リツ,比率,ひりつ,
ヒ\リョウ,肥料,ひりょう,
ヒ/ル\,昼,ひる,
ヒ/ルゴ\ハン,昼ご飯,ひるごはん,
ヒ/ルマ\,昼間,ひるま,
ヒ/ルヤ\スミ,昼休み,ひるやすみ,
ヒ/レイ,非礼,ひれい,
ヒ/レイ,比例,ひれい,
ヒ/ロ\イ,広い,ひろい,
ヒ/ロウ,拾う,ひろう,
ヒ/ロウ\エン,披露宴,ひろうえん,
ヒ/ロガル,広がる,ひろがる,
ヒ/ロゲル,広げる,ひろげる,
ヒ/ロシマ,広島,ひろしま,
ヒ/ロシマ\ケン,広島県,ひろしまけん,
ヒ/ロシマ\シ,広島市,ひろしまし,
ヒ\ロバ,広場,ひろば,
ヒ/ン,品,ひん,
ヒ/ンコン,貧困,ひんこん,
ヒ/ンシツ,品質,ひんしつ,
ヒ/ンシュ,品種,ひんしゅ,
ヒ/ンズーキョウ,ヒンズーきょう,ひんずーきょう,Hindu
ヒ\ント,ヒント,ひんと,hint
ヒ\ンド,頻度,ひんど,
ヒ/ンドゥーキョウ,ヒンドゥーきょう,ひんどぅーきょう,Hindu
ヒ/ンパン,頻繁,ひんぱん,
ヒ/ンパンニ,頻繁に,ひんぱんに,
ヒ/ンモク,品目,ひんもく,
ヒ\ーター,ヒーター,ひーたー,heater
ビ\,美,び,
ビ/ケイ,美形,びけい,
ビ/ケイ,美景,びけい,
ビ/コウ,尾行,びこう,
ビ/コウ,鼻腔,びこう,
ビ/コウ,鼻孔,びこう,
ビ/コウ,備考,びこう,
ビ\ザ,ビザ,びざ,visa
ビ/ショウ,微笑,びしょう,
ビ/ショ\ウジョ,美少女,びしょうじょ,
ビ/ショ\ウネン,美少年,びしょうねん,
ビ\ジネス,ビジネス,びじねす,
ビ\ジュツ,美術,びじゅつ,
ビ/ジュツ\カン,美術館,びじゅつかん,
ビ\ジョ,美女,びじょ,
ビ\ジン,美人,びじん,
ビ/タ\ミン,ビタミン,びたみん,vitamin
ビ/ック\リ,びっくり,びっくり,
ビ\ッグ,ビッグ,びっぐ,big
ビ\デオ,ビデオ,びでお,video
ビ/デオテ\ープ,ビデオテープ,びでおてーぷ,video tape
ビ/ニ\ール,ビニール,びにーる,vinyl
ビ/ミョウ,微妙,びみょう,
ビョ\ウ,秒,びょう,
ビョ/ウイン,病院,びょういん,
ビョ/ウキ,病気,びょうき,
ビョ/ウシャ,描写,びょうしゃ,
ビ/ョウドウ,平等,びょうどう,
ビ/ヨウ,美容,びよう,
ビ/ヨ\ウシツ,美容室,びようしつ,
ビ\ル,ビル,びる,building
ビ\ン,瓶,びん,
ビ/ンカン,敏感,びんかん,
ビ\ンボウ,貧乏,びんぼう,
ビ\ーチ,ビーチ,びーち,beach
ビ\ール,ビール,びーる,beer
ピ/アノ,ピアノ,ぴあの,piano
ピ/エ\ン,ぴえん,ぴえん,
ピ/サヌロ\ーク,ピサヌローク,ぴさぬろーく,พิษณุโลก
ピ/サヌローク\ケン,ピサヌローク県,ぴさぬろーくけん,พิษณุโลก
ピ\ザ,ピザ,ぴざ,pizza
ピ/ッタ\リ,ぴったり,ぴったり,
ピ\ッチャー,ピッチャー,ぴっちゃー,pitcher
ピ/ラミ\ッド,ピラミッド,ぴらみっど,pyramid
ピ\ンク,ピンク,ぴんく,pink
ピ\ーク,ピーク,ぴーく,peak
ピ/ーシ\ー,ピーシー,ぴーしー,PC
ピ\ース,ピース,ぴーす,piece
ピ/ーティーエ\ー,ピーティーエー,ぴーてぃーえー,PTA
ピ\ーマン,ピーマン,ぴーまん,piment
ファ\イト,ファイト,ふぁいと,fight
ファ\イル,ファイル,ふぁいる,file
ファ/ザコン,ファザーコンプレックス,ふぁざーこんぷれっくす,father complex
ファ\ックス,ファックス,ふぁっくす,fax
ファ\ッション,ファッション,ふぁっしょん,fashion
ファ/ボル,ファボる,ふぁぼる,favorite
ファ\ミリー,ファミリー,ふぁみりー,family
ファ/ミレス,ファミレス,ふぁみれす,
ファ\ン,ファン,ふぁん,fan
ファ\ースト,ファースト,ふぁーすと,first
フ/アランポ\ーン,フアランポーン,ふあらんぽーん,หัวลำโพง
フ/アン,不安,ふあん,
フィ\リピン,フィリピン,ふぃりぴん,Philippines
フィ/ルター,フィルター,ふぃるたー,filter
フィ\ルム,フィルム,ふぃるむ,film
フィ/ールド,フィールド,ふぃーるど,field
フ\イ,不意,ふい,
フ\ウケイ,風景,ふうけい,
フ/ウゾク,風俗,ふうぞく,
フ/ウトウ,封筒,ふうとう,
フ\ウド,風土,ふうど,
フ\ウフ,夫婦,ふうふ,
フ\ウミ,風味,ふうみ,
フ/ウリンカ\ザン,風林火山,ふうりんかざん,
フェ\イク,フェイク,ふぇいく,fake
フェ/イクニュ\ース,フェイクニュース,ふぇいくにゅーす,fake news
フェ/イスブ\ック,フェイスブック,ふぇいすぶっく,Facebook
フェ\ザー,フェザー,ふぇざー,feather
フェ\ミニン,フェミニン,ふぇみにん,feminine
フェ/ルミオン,フェルミオン,ふぇるみおん,fermion
フ/エ\ル,増える,ふえる,
フォ\ト,フォト,ふぉと,photo
フォ/ルダー,フォルダー,ふぉるだー,folder
フォ/ント,フォント,ふぉんと,font
フォ\ーク,フォーク,ふぉーく,folk
フォ\ーム,フォーム,ふぉーむ,form
フ\カ,不可,ふか,
フ\カ,付加,ふか,
フ\カ,負荷,ふか,
フ\カ,孵化,ふか,
フ/カイ,不快,ふかい,
フ/カ\イ,深い,ふかい,
フ/カ\ケツ,不可欠,ふかけつ,
フ/カダ,深田,ふかだ,
フ/カ\ノウ,不可能,ふかのう,
フ/カ\ヒ,不可避,ふかひ,
フ/カメ\ル,深める,ふかめる,
フ/キュウ,不朽,ふきゅう,
フ/キュウ,普及,ふきゅう,
フ/キュウ,不急,ふきゅう,
フ/キョウ,不興,ふきょう,
フ/キョウ,不況,ふきょう,
フ/キョウ,布教,ふきょう,
フ\キン,付近,ふきん,
フ/ク\,服,ふく,
フ\クイ,福井,ふくい,
フ/クイ\ケン,福井県,ふくいけん,
フ/クイ\シ,福井市,ふくいし,
フ/ク\オカ,福岡,ふくおか,
フ/クオカ\ケン,福岡県,ふくおかけん,
フ/クオカ\シ,福岡市,ふくおかし,
フ/クゲン,復元,ふくげん,
フ/クゴウ,複合,ふくごう,
フ/クザツ,複雑,ふくざつ,
フ\クシ,福祉,ふくし,
フ/クシ,副詞,ふくし,
フ/ク\シマ,福島,ふくしま,
フ/クシマ\ケン,福島県,ふくしまけん,
フ/クシマ\シ,福島市,ふくしまし,
フ/クシュウ,復習,ふくしゅう,
フ/クス\ウ,複数,ふくすう,
フ/クソウ,服装,ふくそう,
フ/クダ,福田,ふくだ,
フ/クツウ,腹痛,ふくつう,
フ/ク\ム,含む,ふくむ,
フ/クメ\ル,含める,ふくめる,
フ/ク\ヤマ,福山,ふくやま,
フ/クヤマ\シ,福山市,ふくやまし,
フ/クラム,膨らむ,ふくらむ,
フ/クロ\,袋,ふくろ,
フ/クワ\ジュツ,腹話術,ふくわじゅつ,
フ/ケ\イキ,不景気,ふけいき,
フ/コ\ウ,不幸,ふこう,
フ/サイ,負債,ふさい,
フ\サイ,夫妻,ふさい,
フ/サグ,塞ぐ,ふさぐ,
フ/サワシ\イ,相応しい,ふさわしい,
フ/ザイ,不在,ふざい,
フ\シ,不死,ふし,
フ/シ\,節,ふし,
フ/シギ,不思議,ふしぎ,
フ/ショウ,負傷,ふしょう,
フ/シン,腐心,ふしん,
フ/シン,不審,ふしん,
フ/シン,不信,ふしん,
フ/シン,不振,ふしん,
フ\ジ,富士,ふじ,
フ\ジ,不治,ふじ,
フ/ジ,藤,ふじ,
フ/ジイ,藤井,ふじい,
フ\ジサン,富士山,ふじさん,
フ\ジタ,藤田,ふじた,
フ/ジ\モト,藤本,ふじもと,
フ/ジワラ,藤原,ふじわら,
フ/ジン,夫人,ふじん,
フ/ジン,婦人,ふじん,
フ/ジン,布陣,ふじん,
フ/セイ,不正,ふせい,
フ/セ\グ,防ぐ,ふせぐ,
フ/セ\ル,伏せる,ふせる,
フ/ソク,不足,ふそく,
フ/ゾク,付属,ふぞく,
フ/タ,蓋,ふた,
フ/タゴ,双子,ふたご,
フ/タタビ,再び,ふたたび,
フ/タリ\,2人,ふたり,
フ/タリ\,二人,ふたり,
フ/タン,負担,ふたん,
フ\ダン,普段,ふだん,
フ/ッカツ,復活,ふっかつ,
フ/ッキ,復帰,ふっき,
フ/ッキュウ,復旧,ふっきゅう,
フ/ッコウ,復興,ふっこう,
フ/ツウ,普通,ふつう,
フ/ツカ,2日,ふつか,
フ/ツカ,二日,ふつか,
フ/デ,筆,ふで,
フ/デバコ,筆箱,ふでばこ,
フ\ト,ふと,ふと,
フ/ト\イ,太い,ふとい,
フ/トウ,埠頭,ふとう,
フ/トウ,不当,ふとう,
フ/ト\ル,太る,ふとる,
フ/トン,布団,ふとん,
フ/ナ\バシ,船橋,ふなばし,
フ/ナバシ\シ,船橋市,ふなばしし,
フ/ナビン,船便,ふなびん,
フ\ネ,船,ふね,
フ/ノウ,不能,ふのう,
フ/ヘン,不偏,ふへん,
フ/ヘン,普遍,ふへん,
フ/ヘン,不変,ふへん,
フ\ベン,不便,ふべん,
フ/ホウ,不法,ふほう,
フ/ホウ,訃報,ふほう,
フ\ボ,父母,ふぼ,
フ/マエ\ル,踏まえる,ふまえる,
フ/マン,不満,ふまん,
フ/ミコ\ム,踏み込む,ふみこむ,
フ/ム,踏む,ふむ,
フ/メイ,不明,ふめい,
フ/ヤ\ス,増やす,ふやす,
フ/ユ\,冬,ふゆ,
フ\ヨ,付与,ふよ,
フ/ヨウ,扶養,ふよう,
フ/ヨウ,不要,ふよう,
フ/ヨウ,浮揚,ふよう,
フ/ヨウフキュウ,不要不急,ふようふきゅう,
フ/ライパン,フライパン,ふらいぱん,frying pan
フ/ランス,フランス,ふらんす,France
フ/ランスゴ,フランスご,ふらんすご,France
フ/ランス\ジン,フランスじん,ふらんすじん,France
フ\リ,不利,ふり,
フ/リカ\エル,振り返る,ふりかえる,
フ/リコミ,振り込み,ふりこみ,
フ/リコ\ム,振り込む,ふりこむ,
フ/リム\ク,振り向く,ふりむく,
フ/リョウ,不良,ふりょう,
フ\リル,フリル,ふりる,frill
フ/リ\オスル,ふりをする,ふりをする,
フ/リン,不倫,ふりん,
フ/リ\ー,フリー,ふりー,free
フ/リーター,フリーター,ふりーたー,free
フ\ル,降る,ふる,
フ/ル\イ,古い,ふるい,
フ/ルウ,振るう,ふるう,
フ/ルウ,奮う,ふるう,
フ/ルエル,震える,ふるえる,
フ/ル\カワ,古川,ふるかわ,
フ\ルク,古く,ふるく,
フ/ル\サト,故郷,ふるさと,
フ\ルタ,古田,ふるた,
フ/ルホン,古本,ふるほん,
フ/ルホンヤ,古本屋,ふるほんや,
フ/ルマウ,振る舞う,ふるまう,
フ/ル\ーツ,フルーツ,ふるーつ,fruit
フ/レアイ,触れ合い,ふれあい,
フ/レル,触れる,ふれる,
フ/レル,振れる,ふれる,
フ/レ\ンド,フレンド,ふれんど,friend
フ/レーム,フレーム,ふれーむ,frame
フ/ロ\,風呂,ふろ,
フ/ロシキ,風呂敷,ふろしき,
フ/ロント,フロント,ふろんと,front
フ/ロ\ー,フロー,ふろー,flow
フ\ン,分,ふん,
フ/ンイ\キ,雰囲気,ふんいき,
フ/ンソウ,紛争,ふんそう,
フ\ード,フード,ふーど,food
ブ\,部,ぶ,
ブ\イ,部位,ぶい,
ブ/イエス,VS,ぶいえす,vs
ブ/エノスア\イレス,ブエノスアイレス,ぶえのすあいれす,Buenos Aires
ブ\カ,部下,ぶか,
ブ/カイ,部会,ぶかい,
ブ/カツ,部活,ぶかつ,
ブ/カ\ツドウ,部活動,ぶかつどう,
ブ\キ,武器,ぶき,
ブ\ギョウ,奉行,ぶぎょう,
ブ\シ,武士,ぶし,
ブ/シツ,部室,ぶしつ,
ブ/ジ,無事,ぶじ,
ブ/ソウ,武装,ぶそう,
ブ/タ,豚,ぶた,
ブ\タイ,舞台,ぶたい,
ブ\タイ,部隊,ぶたい,
ブ/タニク,豚肉,ぶたにく,
ブ/チョウ,部長,ぶちょう,
ブ/ッカ,物価,ぶっか,
ブ\ッキョウ,仏教,ぶっきょう,
ブ\ック,ブック,ぶっく,book
ブ/ッケン,物件,ぶっけん,
ブ\ッシ,物資,ぶっし,
ブ/ッシツ,物質,ぶっしつ,
ブ\ッシュ,ブッシュ,ぶっしゅ,Bush
ブ/ッタイ,物体,ぶったい,
ブ/ッチャケ,ぶっちゃけ,ぶっちゃけ,
ブ/ッチョウヅラ,仏頂面,ぶっちょうづら,
ブ/ツカル,ぶつかる,ぶつかる,
ブ/ツケル,ぶつける,ぶつける,
ブ\ツリ,物理,ぶつり,
ブ/ドウ,葡萄,ぶどう,
ブ/ヒン,部品,ぶひん,
ブ\ブン,部分,ぶぶん,
ブ/モン,部門,ぶもん,
ブ\モン,部門,ぶもん,
ブ\ラ,ブラ,ぶら,bra
ブ/ラウザ,ブラウザ,ぶらうざ,browser
ブ\ラシ,ブラシ,ぶらし,brush
ブ/ラ\ジャー,ブラジャー,ぶらじゃー,brassiere
ブ/ラジル,ブラジル,ぶらじる,Brazil
ブ/ラ\ック,ブラック,ぶらっく,
ブ/ラックキ\ギョウ,ブラック企業,ぶらっくきぎょう,
ブ/ランド,ブランド,ぶらんど,brand
ブ\リ,ブリ,ぶり,
ブ\リ,鰤,ぶり,
ブ\リョク,武力,ぶりょく,
ブ/リ\ーフ,ブリーフ,ぶりーふ,
ブ/ル\ー,ブルー,ぶるー,blue
ブ/レ\ーキ,ブレーキ,ぶれーき,brake
ブ/ログ,ブログ,ぶろぐ,blog
ブ/ロ\ック,ブロック,ぶろっく,block
ブ\ン,文,ぶん,
ブ\ンカ,文化,ぶんか,
ブ/ンカイ,分解,ぶんかい,
ブ/ンカツ,分割,ぶんかつ,
ブ\ンガク,文学,ぶんがく,
ブ/ンケイ,文系,ぶんけい,
ブ/ンケン,文献,ぶんけん,
ブ/ンゲイ,文芸,ぶんげい,
ブ/ンコ,文庫,ぶんこ,
ブ/ンコボン,文庫本,ぶんこぼん,
ブ/ンサン,分散,ぶんさん,
ブ\ンシ,分子,ぶんし,
ブ\ンショ,文書,ぶんしょ,
ブ\ンショウ,文章,ぶんしょう,
ブ/ンセキ,分析,ぶんせき,
ブ/ンタン,分担,ぶんたん,
ブ/ンデスリ\ーガ,ブンデスリーガ,ぶんですりーが,Bundesliga
ブ/ンパイ,分配,ぶんぱい,
ブ/ンピツ,分泌,ぶんぴつ,
ブ/ンプ,分布,ぶんぷ,
ブ/ンベツ,分別,ぶんべつ,
ブ/ンポウ,文法,ぶんぽう,
ブ/ンメイ,文明,ぶんめい,
ブ\ンヤ,分野,ぶんや,
ブ/ンリ,分離,ぶんり,
ブ/ンルイ,分類,ぶんるい,
ブ/ンレツ,分裂,ぶんれつ,
ブ\ーツ,ブーツ,ぶーつ,boots
ブ\ーム,ブーム,ぶーむ,boom
プ\サン,釜山,ぷさん,
プ/チト\マト,プチトマト,ぷちとまと,petit tomato
プ\ッシュ,プッシュ,ぷっしゅ,push
プ\ミポンコ/クオ\ウ,プミポン国王,ぷみぽんこくおう,ภูมิพล
プ/ライド,プライド,ぷらいど,pride
プ/ラ\イバシー,プライバシー,ぷらいばしー,privacy
プ/ライベ\ート,プライベート,ぷらいべーと,private
プ\ラグ,プラグ,ぷらぐ,plug
プ/ラグ,プラグ,ぷらぐ,plug
プ\ラザ,プラザ,ぷらざ,plaza
プ/ラス,プラス,ぷらす,plus
プ\ラス,プラス,ぷらす,plus
プ/ラスア\ルファ,プラスアルファ,ぷらすあるふぁ,plus alpha
プ/ラスチ\ック,プラスチック,ぷらすちっく,plastic
プ/ラスマ\イナス,プラスマイナス,ぷらすまいなす,plus minus
プ/ラズマ,プラズマ,ぷらずま,plasma
プ/ラチナ,プラチナ,ぷらちな,platinum
プ/ラモ\デル,プラモデル,ぷらもでる,plastic model
プ\ラン,プラン,ぷらん,plan
プ\リン,プリン,ぷりん,pudding
プ/リンター,プリンター,ぷりんたー,printer
プ/リント,プリント,ぷりんと,print
プ/レ\ゼント,プレゼント,ぷれぜんと,present
プ/レミア,プレミア,ぷれみあ,premier
プ/レミアリ\ーグ,プレミアリーグ,ぷれみありーぐ,Premier League
プ/レ\ー,プレー,ぷれー,play
プ/レート,プレート,ぷれーと,
プ/レ\ーヤー,プレーヤー,ぷれーやー,player
プ\ロ,プロ,ぷろ,pro
プ/ログ\ラム,プログラム,ぷろぐらむ,program
プ/ロ\ジェクト,プロジェクト,ぷろじぇくと,project
プ/ロジェ\クト,プロジェクト,ぷろじぇくと,project
プ/ロ\セス,プロセス,ぷろせす,process
プ/ロ\パティ,プロパティ,ぷろぱてぃ,property
プ/ロファ\イル,プロファイル,ぷろふぁいる,profile
プ/ロフィ\ール,プロフィール,ぷろふぃーる,profile
プ/ロヤ\キュウ,プロ野球,ぷろやきゅう,pro
プ/ロ\ンポン,プロンポン,ぷろんぽん,พร้อมพงษ์
プ\ーケット,プーケット,ぷーけっと,ภูเก็ต
プ/ーケットトウ,プーケット島,ぷーけっととう,ภูเก็ต
プ\ードル,プードル,ぷーどる,poodle
プ/ーパッポンカ\リー,プーパッポンカリー,ぷーぱっぽんかりー,ปูผัดผงกะหรี่
プ\ール,プール,ぷーる,pool
プ/ールサ\イド,プールサイド,ぷーるさいど,poolside
ヘ\,屁,へ,
ヘ\ア,ヘア,へあ,
ヘ/アスタ\イル,ヘアスタイル,へあすたいる,hairstyle
ヘ/アバ\ンド,ヘアバンド,へあばんど,hair band
ヘ/イ,塀,へい,
ヘ\イ,兵,へい,
ヘ/イアン,平安,へいあん,
ヘ\イカ,陛下,へいか,
ヘ\イキ,兵器,へいき,
ヘ/イキ,平気,へいき,
ヘ\イキ,併記,へいき,
ヘ/イキン,平均,へいきん,
ヘ/イサ,閉鎖,へいさ,
ヘ\イシ,平氏,へいし,
ヘ\イシ,兵士,へいし,
ヘ/イジツ,平日,へいじつ,
ヘ/イセイ,平成,へいせい,
ヘ/イテン,閉店,へいてん,
ヘ/イホウメ\ートル,平方メートル,へいほうめーとる,
ヘ/イメ\ン,平面,へいめん,
ヘ/イヨウ,併用,へいよう,
ヘ/イワ,平和,へいわ,
ヘ/クタ\ール,ヘクタール,へくたーる,hectare
ヘ/コム,凹む,へこむ,
ヘ/タ\,下手,へた,
ヘ\ッド,ヘッド,へっど,head
ヘ\ビ,蛇,へび,
ヘ/ヤ\,部屋,へや,
ヘ/ラス,減らす,へらす,
ヘ/ル,減る,へる,
ヘ\ルメット,ヘルメット,へるめっと,helmet
ヘ\ン,変,へん,
ヘ\ンカ,変化,へんか,
ヘ/ンカク,変革,へんかく,
ヘ/ンカン,返還,へんかん,
ヘ/ンカン,変換,へんかん,
ヘ/ンケイ,変形,へんけい,
ヘ/ンコウ,変更,へんこう,
ヘ/ンサイ,返済,へんさい,
ヘ/ンシュウ,編集,へんしゅう,
ヘ/ンシン,変身,へんしん,
ヘ/ンシン,返信,へんしん,
ヘ/ンジ\,返事,へんじ,
ヘ/ンス\ウ,変数,へんすう,
ヘ/ンセイ,編成,へんせい,
ヘ/ンドウ,変動,へんどう,
ヘ/ンノウ,返納,へんのう,
ベ\イ,ベイ,べい,bay
ベ/イグン,米軍,べいぐん,
ベ/イコク,米国,べいこく,
ベ\シ,べし,べし,
ベ\スト,ベスト,べすと,best
ベ/ストセ\ラー,ベストセラー,べすとせらー,bestseller
ベ\ッド,ベッド,べっど,bed
ベ/ッドル\ーム,ベッドルーム,べっどるーむ,bedroom
ベ/ップ,別府,べっぷ,
ベ/ップ\シ,別府市,べっぷし,
ベ/ツ,別,べつ,
ベ/ツベツ,別々,べつべつ,
ベ/トナム,ベトナム,べとなむ,Vietnam
ベ\ビー,ベビー,べびー,
ベ/ランダ,ベランダ,べらんだ,veranda
ベ\ル,ベル,べる,bell
ベ/ルト,ベルト,べると,belt
ベ/ルリン,ベルリン,べるりん,Berlin
ベ\ン,ペン,べん,pen
ベ\ンキ,便器,べんき,
ベ/ンキョウ,勉強,べんきょう,
ベ\ンゴ,弁護,べんご,
ベ/ンゴ\シ,弁護士,べんごし,
ベ/ンサイ,弁済,べんさい,
ベ/ンザ,便座,べんざ,
ベ/ンジョ\,便所,べんじょ,
ベ\ンチ,ベンチ,べんち,bench
ベ/ント\ウ,弁当,べんとう,
ベ\ンリ,便利,べんり,
ベ/ース,ベース,べーす,base
ベ/ート\ーベン,ベートーベン,べーとーべん,Beethoven
ペ\キン,北京,ぺきん,
ペ/キンダ\ック,北京ダック,ぺきんだっく,
ペ\ット,ペット,ぺっと,pet
ペ/ットボ\トル,ペットボトル,ぺっとぼとる,PET bottle
ペ\ン,ペン,ぺん,pen
ペ/ージ,頁,ぺーじ,page
ペ/ージ,ページ,ぺーじ,page
ペ\ース,ペース,ぺーす,pace
ペ\ーパー,ペーパー,ぺーぱー,paper
ホ/アン,保安,ほあん,
ホ/イク\エン,保育園,ほいくえん,
ホ\ウ,方,ほう,
ホ/ウアン,法案,ほうあん,
ホ/ウカ,放課,ほうか,
ホ/ウカ,放火,ほうか,
ホ/ウカイ,崩壊,ほうかい,
ホ/ウカゴ,放課後,ほうかご,
ホ/ウカツ,包括,ほうかつ,
ホ\ウキ,法規,ほうき,
ホ\ウキ,放棄,ほうき,
ホ\ウキ,蜂起,ほうき,
ホ/ウキ,ホウキ,ほうき,
ホ/ウゲ\ン,方言,ほうげん,
ホ/ウコウ,方向,ほうこう,
ホ/ウコウ,芳香,ほうこう,
ホ\ウコウ,奉公,ほうこう,
ホ/ウコク,報告,ほうこく,
ホ/ウサク,方策,ほうさく,
ホ/ウサク,豊作,ほうさく,
ホ\ウシ,奉仕,ほうし,
ホ\ウシ,胞子,ほうし,
ホ/ウシキ,方式,ほうしき,
ホ/ウシャ,放射,ほうしゃ,
ホ/ウシュウ,報酬,ほうしゅう,
ホ/ウシュツ,放出,ほうしゅつ,
ホ/ウシン,放心,ほうしん,
ホ/ウシン,方針,ほうしん,
ホ/ウジン,法人,ほうじん,
ホ/ウジン,邦人,ほうじん,
ホ/ウセイ,法政,ほうせい,
ホ/ウセイ,縫製,ほうせい,
ホ/ウセイ,法制,ほうせい,
ホ/ウセキ,宝石,ほうせき,
ホ/ウソウ,法曹,ほうそう,
ホ/ウソウ,包装,ほうそう,
ホ/ウソウ,放送,ほうそう,
ホ/ウソク,法則,ほうそく,
ホ\ウダイ,放題,ほうだい,
ホ/ウダイ,邦題,ほうだい,
ホ/ウダイ,砲台,ほうだい,
ホ\ウチ,放置,ほうち,
ホ/ウチョウ,包丁,ほうちょう,
ホ/ウテイ,法廷,ほうてい,
ホ/ウテキ,法的,ほうてき,
ホ/ウドウ,報道,ほうどう,
ホ/ウフ,抱負,ほうふ,
ホ/ウフ,豊富,ほうふ,
ホ/ウホウ,方法,ほうほう,
ホ\ウム,法務,ほうむ,
ホ/ウメン,放免,ほうめん,
ホ/ウメ\ン,方面,ほうめん,
ホ/ウモン,訪問,ほうもん,
ホ/ウヨウ,抱擁,ほうよう,
ホ/ウヨ\ウリョク,包容力,ほうようりょく,
ホ/ウリツ,法律,ほうりつ,
ホ/ウリツカ,法律家,ほうりつか,
ホ/ウル,放る,ほうる,
ホ/ウレイ,法令,ほうれい,
ホ\オ,頬,ほお,
ホ/オン,保温,ほおん,
ホ/カ,他,ほか,
ホ/カン,補完,ほかん,
ホ/カン,保管,ほかん,
ホ/カン,補間,ほかん,
ホ/キュウ,補給,ほきゅう,
ホ\クブ,北部,ほくぶ,
ホ/クベイ,北米,ほくべい,
ホ/クリク,北陸,ほくりく,
ホ/クリクチ\ホウ,北陸地方,ほくりくちほう,
ホ/ケン,保険,ほけん,
ホ/ケンショウ,保険証,ほけんしょう,
ホ/コウ,歩行,ほこう,
ホ/コ\ウシャ,歩行者,ほこうしゃ,
ホ/コリ,埃,ほこり,
ホ/コ\ル,誇る,ほこる,
ホ\ゴ,保護,ほご,
ホ\ゴ,反故,ほご,
