accent,word,yomi,english
ア/ジ\サイ,紫陽花,あじさい,
ア/ジシオ,味塩,あじしお,
ア/ジタマ,味玉,あじたま,
ア/ジツケ,味付け,あじつけ,
ア/ジツケノ\リ,味付け海苔,あじつけのり,
ア/ジテ\ーター,アジテーター,あじてーたー,agitator
ア\ジト,アジト,あじと,
ア/ジミ,味見,あじみ,
ア/ジ\ル,アジる,あじる,agitate
ア/ジワイ,味わい,あじわい,
ア/ジワイブカ\イ,味わい深い,あじわいぶかい,
ア/ジワ\ウ,味わう,あじわう,
ア/ス\,明日,あす,
ア\スカ,明日香,あすか,
ア\スカ,飛鳥,あすか,
ア/スカジ\ダイ,飛鳥時代,あすかじだい,
ア/スタリ\スク,アスタリスク,あすたりすく,asterisk
ア/ステカ,アステカ,あすてか,Aztecs
ア/スナロ,あすなろ,あすなろ,
ア/スパラガ\ス,アスパラガス,あすぱらがす,asparagus
ア/スピリン,アスピリン,あすぴりん,aspirin
ア/スファ\ルト,アスファルト,あすふぁると,asphalt
ア/スベ\スト,アスベスト,あすべすと,asbestos
ア/スペ\ルガー,アスペルガー,あすぺるがー,Asperger
ア/スリ\ート,アスリート,あすりーと,athlete
ア/スレチ\ック,アスレチック,あすれちっく,athletic
ア/ズカリキン,預かり金,あずかりきん,
ア/ズカリショウ,預かり証,あずかりしょう,
ア/ズカリモノ,預かり物,あずかりもの,
ア/ズカ\ル,預かる,あずかる,
ア/ズキ\,小豆,あずき,
ア/ズキイロ,小豆色,あずきいろ,
ア/ズケイレ,預け入れ,あずけいれ,
ア/ズケ\ヌシ,預け主,あずけぬし,
ア/ズケモノ,預け物,あずけもの,
ア/ズケ\ル,預かる,あずける,
ア\ズサ,梓,あずさ,
ア\ズマ,東,あずま,
ア/ズマ\ウタ,東歌,あずまうた,
ア/ズマ\ヤ,東屋,あずまや,
ア/ズミ,安曇,あずみ,
ア\セ,汗,あせ,
ア/セ\アン,アセアン,あせあん,ASEAN
ア/セカ\キ,汗かき,あせかき,
ア/セクサ\イ,汗臭い,あせくさい,
ア/セジミ,汗染み,あせじみ,
ア/セ\スメント,アセスメント,あせすめんと,assessment
ア/セダク,汗だく,あせだく,
ア/セチレン,アセチレン,あせちれん,acetylene
ア/セトアルデ\ヒド,アセトアルデヒド,あせとあるでひど,acetaldehyde
ア/セトン,アセトン,あせとん,acetone
ア/セバ\ム,汗ばむ,あせばむ,
ア/セマ\ミレ,汗まみれ,あせまみれ,
ア\セミズ,汗水,あせみず,
ア/セモ,汗疹,あせも,
ア/セリ,焦り,あせり,
ア/セ\ル,褪せる,あせる,
ア/セ\ル,焦る,あせる,
ア/セロラ,アセロラ,あせろら,acerola
ア/ゼ\ミチ,畦道,あぜみち,
ア/ゼン,唖然,あぜん,
ア\ソ,阿蘇,あそ,
ア\ソウ,麻生,あそう,
ア/ソコ,あそこ,あそこ,
ア/ソ\サン,阿蘇山,あそさん,
