word,kana,yomi,conj,base,nai,nakatta,masu,te,ta,con,imp,vol,pot
勝ち得る,かちえる,kachieru,下一段-ア行,勝ち得る,勝ち得ない,勝ち得なかった,勝ち得ます,勝ち得て,勝ち得た,勝ち得れば,勝ち得ろ,勝ち得よう,勝ち得られる
勝ち越す,かちこす,kachikosu,五段-サ行,勝ち越す,勝ち越さない,勝ち越さなかった,勝ち越します,勝ち越して,勝ち越した,勝ち越せば,勝ち越せ,勝ち越そう,勝ち越せる
勝ち進む,かちすすむ,kachisusumu,五段-マ行,勝ち進む,勝ち進まない,勝ち進まなかった,勝ち進みます,勝ち進んで,勝ち進んだ,勝ち進めば,勝ち進め,勝ち進もう,勝ち進める
勝ち取る,かちとる,kachitoru,五段-ラ行,勝ち取る,勝ち取らない,勝ち取らなかった,勝ち取ります,勝ち取って,勝ち取った,勝ち取れば,勝ち取れ,勝ち取ろう,勝ち取れる
勝ち残る,かちのこる,kachinokoru,五段-ラ行,勝ち残る,勝ち残らない,勝ち残らなかった,勝ち残ります,勝ち残って,勝ち残った,勝ち残れば,勝ち残れ,勝ち残ろう,勝ち残れる
勝つ,かつ,katsu,五段-タ行,勝つ,勝たない,勝たなかった,勝ちます,勝って,勝った,勝てば,勝て,勝とう,勝てる
担ぎ上げる,かつぎあげる,katsugiageru,下一段-ガ行,担ぎ上げる,担ぎ上げない,担ぎ上げなかった,担ぎ上げます,担ぎ上げて,担ぎ上げた,担ぎ上げれば,担ぎ上げろ,担ぎ上げよう,担ぎ上げられる
担ぎ出す,かつぎだす,katsugidasu,五段-サ行,担ぎ出す,担ぎ出さない,担ぎ出さなかった,担ぎ出します,担ぎ出して,担ぎ出した,担ぎ出せば,担ぎ出せ,担ぎ出そう,担ぎ出せる
担ぐ,かつぐ,katsugu,五段-ガ行,担ぐ,担がない,担がなかった,担ぎます,担いで,担いだ,担げば,担げ,担ごう,担げる
叶う,かなう,kanau,五段-ワア行,叶う,叶わない,叶わなかった,叶います,叶って,叶った,叶えば,叶え,叶おう,叶える
敵う,かなう,kanau,五段-ワア行,敵う,敵わない,敵わなかった,敵います,敵って,敵った,敵えば,敵え,敵おう,敵える
適う,かなう,kanau,五段-ワア行,適う,適わない,適わなかった,適います,適って,適った,適えば,適え,適おう,適える
叶える,かなえる,kanaeru,下一段-ア行,叶える,叶えない,叶えなかった,叶えます,叶えて,叶えた,叶えれば,叶えろ,叶えよう,叶えられる
悲しむ,かなしむ,kanashimu,五段-マ行,悲しむ,悲しまない,悲しまなかった,悲しみます,悲しんで,悲しんだ,悲しめば,悲しめ,悲しもう,悲しめる
奏でる,かなでる,kanaderu,下一段-ダ行,奏でる,奏でない,奏でなかった,奏でます,奏でて,奏でた,奏でれば,奏でろ,奏でよう,奏でられる
兼ね合わせる,かねあわせる,kaneawaseru,下一段-サ行,兼ね合わせる,兼ね合わせない,兼ね合わせなかった,兼ね合わせます,兼ね合わせて,兼ね合わせた,兼ね合わせれば,兼ね合わせろ,兼ね合わせよう,兼ね合わせられる
兼ね備える,かねそなえる,kanesonaeru,下一段-ア行,兼ね備える,兼ね備えない,兼ね備えなかった,兼ね備えます,兼ね備えて,兼ね備えた,兼ね備えれば,兼ね備えろ,兼ね備えよう,兼ね備えられる
兼ねる,かねる,kaneru,下一段-ナ行,兼ねる,兼ねない,兼ねなかった,兼ねます,兼ねて,兼ねた,兼ねれば,兼ねろ,兼ねよう,兼ねられる
庇う,かばう,kabau,五段-ワア行,庇う,庇わない,庇わなかった,庇います,庇って,庇った,庇えば,庇え,庇おう,庇える
被せる,かぶせる,kabuseru,下一段-サ行,被せる,被せない,被せなかった,被せます,被せて,被せた,被せれば,被せろ,被せよう,被せられる
齧り付く,かぶりつく,kaburitsuku,五段-カ行,齧り付く,齧り付かない,齧り付かなかった,齧り付きます,齧り付いて,齧り付いた,齧り付けば,齧り付け,齧り付こう,齧り付ける
被る,かぶる,kaburu,五段-ラ行,被る,被らない,被らなかった,被ります,被って,被った,被れば,被れ,被ろう,被れる
