accent,kanji,yomi,english
あ\らたに,新たに,あらたに,
あ/らたま\る,改まる,あらたまる,
あ/らため\る,改める,あらためる,
あ/らゆ\る,,あらゆる,
あ/らわ\す,表す・現す,あらわす,
あ/らわれ\る,現れる,あらわれる,
あ/り,蟻,あり,
あ/り\がとう,,ありがとう,
あ/り\むら,有村,ありむら,
あ\る,,ある,
あ/るきた\ばこ,歩き煙草,あるきたばこ,
あ/る\く,歩く,あるく,
あ\るひ,ある日,あるひ,
あ/れ,,あれ,
あ/れ\これ,,あれこれ,
あ/れち,荒地,あれち,
あ/れほど,あれ程,あれほど,
あ/れる,荒れる,あれる,
あ/わ\,泡,あわ,
あ/わ\い,淡い,あわい,
あ/わ\す,合わす,あわす,
あ/わせ\る,合わせる,あわせる,
あ/わだ\つ,泡立つ,あわだつ,
あ/わだて\る,泡立てる,あわだてる,
あ/わてる,慌てる,あわてる,
あ\わび,鮑,あわび,
あ\われ,哀れ,あわれ,
あ/われ\む,哀れむ,あわれむ,
あ\ん,案,あん,
あ\んい,安易,あんい,
あ\んがい,案外,あんがい,
あ/んき,暗記,あんき,
あ/んき\りょく,暗記力,あんきりょく,
あ/んごう,暗号,あんごう,
あ/んさつ,暗殺,あんさつ,
あ\んざん,安産,あんざん,
あ/んざん,暗算,あんざん,
あ/んしょうば\んごう,暗証番号,あんしょうばんごう,
あ/んしん,安心,あんしん,
あ/んぜん,安全,あんぜん,
あ\んどう,安藤,あんどう,
あ/んな,,あんな,
あ/んな\い,案内,あんない,
あ/んないしょ,案内書,あんないしょ,
あ/んな\いず,案内図,あんないず,
あ\んに,暗に,あんに,
あ/んにんど\うふ,杏仁豆腐,あんにんどうふ,
あ/んの\じょう,案の定,あんのじょう,
あ/んまり\,,あんまり,
あ/んまり,,あんまり,
あ/んらく\し,安楽死,あんらくし,
い/,胃,い,
い/あつ,威圧,いあつ,
い/あつてき,威圧的,いあつてき,
い\い,良い,いい,
い/いあい,言い合い,いいあい,
い/いあ\う,言い合う,いいあう,
い/いあらそい,言い争い,いいあらそい,
い/いあらそ\う,言い争う,いいあらそう,
い/いえ\,,いいえ,
い/いだ,飯田,いいだ,
い/いわけ,言い訳,いいわけ,
い/い\んかい,委員会,いいんかい,
い/う,言う,いう,
い/え\,家,いえ,
い\か,以下,いか,
い/か\が,如何,いかが,
い/か\す,生かす,いかす,
い/がい,意外,いがい,
い\がい,以外,いがい,
い\がく,医学,いがく,
い/が\らし,五十嵐,いがらし,
い\がわ,井川,いがわ,
い\き,息,いき,
い/き\る,生きる,いきる,
い/く,行く,いく,
い\くつ,幾つ,いくつ,
い\くら,,いくら,
い/け\,池,いけ,
い/けだ,池田,いけだ,
い/けない,,いけない,
い/け\ばな,生け花,いけばな,
い/けぶくろ,池袋,いけぶくろ,
い\けん,意見,いけん,
い/ざかや,居酒屋,いざかや,
い\し,医師・意思・意志,いし,
い/し\,石,いし,
い/しい,石井,いしい,
い/しかわ,石川,いしかわ,
い/しかわ,石川,いしかわ,
い/しかわ\けん,石川県,いしかわけん,
い/しだ,石田,いしだ,
い/しゃ,医者,いしゃ,
い/じめ,,いじめ,
い/じめる,虐める,いじめる,
い/じゅう,移住,いじゅう,
い\じょう,以上,いじょう,
い/す,椅子,いす,
い/せき,移籍・遺跡,いせき,
い\ぜん,以前,いぜん,
い/そがし\い,忙しい,いそがしい,
い/そ\ぐ,急ぐ,いそぐ,
い\た,板,いた,
い/た\い,痛い,いたい,
い/た\す,致す,いたす,
い/たずら,悪戯,いたずら,
い/ただく,頂く,いただく,
い/た\む,痛む,いたむ,
い/ため\る,痛める・炒める,いためる,
い\ち,位置,いち,
い/ちおう,一応,いちおう,
い/ち\かわ,市川,いちかわ,
い/ち\かわ,市川,いちかわ,
い/ちかわ\し,市川市,いちかわし,
い/ちご,苺,いちご,
い/ちじるし\い,著しい,いちじるしい,
い/ちど,一度,いちど,
い/ちにんまえ,一人前,いちにんまえ,
い\ちば,市場,いちば,
い/ち\ばん,一番,いちばん,
い/ちばん,一番,いちばん,
い/ち\ぶ,一部,いちぶ,
い/ちりゅう,一流,いちりゅう,
い/ち\れつ,一列,いちれつ,
い/っしょ,一緒,いっしょ,
い/っしょうけ\んめい,一生懸命,いっしょうけんめい,
い/っぱい,一杯・一敗,いっぱい,
い/っぱんてき,一般的,いっぱんてき,
い/っぽうつ\うこう,一方通行,いっぽうつうこう,
い\つ,何時,いつ,
い\つか,,いつか,
い/つか,5日・五日,いつか,
い\つでも,,いつでも,
い\つも,,いつも,
い/てん,移転,いてん,
い/でん,遺伝,いでん,
い\と,糸,いと,
い/とう,伊藤・伊東,いとう,
い/と\こ,従兄弟,いとこ,
い\ど,井戸,いど,
い/どう,移動,いどう,
い\ない,以内,いない,
い/なか,田舎,いなか,
い/ぬ\,犬,いぬ,
い/のうえ,井上,いのうえ,
い\のち,命,いのち,
い/のり\,祈り,いのり,
い/の\る,祈る,いのる,
い/はん,違反,いはん,
い/ば\らき,茨城,いばらき,
い/ばらき\けん,茨城県,いばらきけん,
い/ば\る,威張る,いばる,
い/びき\,鼾,いびき,
い/ほう,違法,いほう,
い\ま,今,いま,
い/まい,今井,いまい,
い\まにも,今にも,いまにも,
い/まま\で,今まで,いままで,
い\み,意味,いみ,
い/もうと\,妹,いもうと,
い/もうとさん,妹さん,いもうとさん,
い/や\,嫌,いや,
い/やいや,嫌々,いやいや,
い/やが\る,嫌がる,いやがる,
い/やみ\,嫌み,いやみ,
い/らい,依頼,いらい,
い\らいら,,いらいら,
い/らっしゃいま\せ,,いらっしゃいませ,
い/らっしゃ\る,,いらっしゃる,
い/りぐち,入口,いりぐち,
い/る,居る,いる,
い/る,要る,いる,
い\るい,衣類,いるい,
い/れずみ,入墨,いれずみ,
い/れば,入れ歯,いれば,
い/れもの,入れ物,いれもの,
い/れる,入れる・淹れる,いれる,
い/ろ\,色,いろ,
い/ろいろ,色々,いろいろ,
い/わ\う,祝う,いわう,
い\わき,磐城,いわき,
い/わき\し,,いわきし,
い/わ\さき,岩崎,いわさき,
い\わて,岩手,いわて,
い/わて\けん,岩手県,いわてけん,
い/わむら,岩村,いわむら,
い/んか\ん,印鑑,いんかん,
い/んさつ,印刷,いんさつ,
い/んしょく\てん,飲食店,いんしょくてん,
う\うん,,ううん,
う/え,上,うえ,
う/え\すぎ,上杉,うえすぎ,
う/えだ,上田・植田,うえだ,
う/えの,上野(地名),うえの,
う\えの,(名字),うえの,
う/える,植える,うえる,
う/かがう,伺う,うかがう,
う/かぶ,浮かぶ,うかぶ,
う/かべる,浮かべる,うかべる,
う/か\る,受かる,うかる,
う/がい,,うがい,
う/く,浮く,うく,
う/けつけ,受付,うけつけ,
う/け\る,受ける,うける,
う/ごか\す,動かす,うごかす,
う/ご\く,動く,うごく,
う/さぎ,兎,うさぎ,
う/ざ\い,,うざい,
う/し,牛,うし,
う/しろ,後ろ,うしろ,
う/すい,薄い,うすい,
う/すめる,薄める,うすめる,
う/せつ,右折,うせつ,
う\そ,嘘,うそ,
う/そ\つき,嘘つき,うそつき,
う/た\,歌,うた,
う/たう,歌う,うたう,
う/たがう,疑う,うたがう,
う/たたね,転寝,うたたね,
う/ただ,宇多田,うただ,
う/ち,家,うち,
う/ちあけ\る,打ち明ける,うちあける,
う/ちあげ\る,打ち上げる,うちあげる,
う/ちあわせ\る,打ち合わせる,うちあわせる,
う/ちがわ,内側,うちがわ,
う/ちき,内気,うちき,
う/ちだ,内田,うちだ,
う/ちまた,内股,うちまた,
う\ちゅう,宇宙,うちゅう,
う/ち\わ,団扇,うちわ,
う/っか\り,,うっかり,
う/ったえ\る,訴える,うったえる,
う/っとうし\い,鬱陶しい,うっとうしい,
う/っと\り,,うっとり,
う\つ,打つ,うつ,
う/つくし\い,美しい,うつくしい,
う/つ\す,写す・移す,うつす,
う/つのみや,宇都宮,うつのみや,
う/つのみや\し,宇都宮市,うつのみやし,
う/つぶせ,うつ伏せ,うつぶせ,
う\つみ,内海,うつみ,
う/つ\る,写る・移る,うつる,
う/つわ,器,うつわ,
う/で\,腕,うで,
う/でど\けい,腕時計,うでどけい,
う/どん,饂飩,うどん,
う/なぎ,鰻,うなぎ,
う/なじ,項,うなじ,
う/なず\く,頷く,うなずく,
う/ば\う,奪う,うばう,
う/ま\,馬,うま,
う/ま\い,上手い・美味い,うまい,
う/まれる,生まれる,うまれる,
う\み,海,うみ,
う/め,梅,うめ,
う/めたて\る,埋め立てる,うめたてる,
う/やま\う,敬う,うやまう,
う/ら\,裏,うら,
う/らがわ,裏側,うらがわ,
う/らぎ\る,裏切る,うらぎる,
う/らない,占い,うらない,
う/らな\う,占う,うらなう,
う/らみ\,恨み,うらみ,
う/ら\む,恨む,うらむ,
う/らやす,浦安,うらやす,
う/らやす\し,浦安市,うらやすし,
う/らやまし\い,羨ましい,うらやましい,
う/りきれ,売り切れ,うりきれ,
う/りきれ\る,売り切れる,うりきれる,
う/りば,売り場,うりば,
う/りもの,売り物,うりもの,
う/る,売る,うる,
う/る\うどし,うるう年,うるうどし,
う/るさ\い,煩い・五月蝿い,うるさい,
う/れし\い,嬉しい,うれしい,
う/れる,売れる,うれる,
う/ろこ,鱗,うろこ,
う/わき,浮気,うわき,
う/わぎ,上着,うわぎ,
う/わさ,噂,うわさ,
う\ん,,うん,
う/んてん,運転,うんてん,
う/んて\んしゅ,運転手,うんてんしゅ,
う/んてんめ\んきょ,運転免許,うんてんめんきょ,
う/んどう,運動,うんどう,
う/んど\うかい,運動会,うんどうかい,
う/んどうじょう,運動場,うんどうじょう,
う/んどうぶ\そく,運動不足,うんどうぶそく,
う\んめい,運命,うんめい,
え\,絵,え,
え/いえん,永遠,えいえん,
え/いか\いわ,英会話,えいかいわ,
え/いが,映画,えいが,
え/いが\かん,映画館,えいがかん,
え/いきゅう,永久,えいきゅう,
え/いきょう,影響,えいきょう,
え/いきょ\うりょく,影響力,えいきょうりょく,
え/いぎょう,営業,えいぎょう,
え/いぎょうしょ,営業所,えいぎょうしょ,
え/いぎょうじ\かん,営業時間,えいぎょうじかん,
え/いぎょうちゅう,営業中,えいぎょうちゅう,
え/いぎょ\うぶ,営業部,えいぎょうぶ,
え/いこく,英国,えいこく,
え/いご,英語,えいご,
え/いじゅ\うけん,永住権,えいじゅうけん,
え/いせいほ\うそう,衛星放送,えいせいほうそう,
え/いぞう,映像,えいぞう,
え/いてん,栄転,えいてん,
え/いやく,英訳,えいやく,
え/いゆう,英雄,えいゆう,
え\いよ,栄誉,えいよ,
え/いよう,栄養,えいよう,
え/いようし\っちょう,栄養失調,えいようしっちょう,
え/いようぶ\そく,栄養不足,えいようぶそく,
え/え,,ええ,
え\え,,ええ,
え/えと,,ええと,
え\がお,笑顔,えがお,
え\がわ,江川,えがわ,
え\き,駅,えき,
え/き\いん,駅員,えきいん,
え/きじょう,液状,えきじょう,
え/きたい,液体,えきたい,
え/きちょう,駅長,えきちょう,
え/きでん,駅伝,えきでん,
え/きびょう,疫病,えきびょう,
え/きべん,駅弁,えきべん,
え/きまえ,駅前,えきまえ,
え/きめい,駅名,えきめい,
え/きビル,駅ビル,えきビル,
え/こひ\いき,依怙贔屓,えこひいき,
え/さ\,餌,えさ,
え\しゃく,会釈,えしゃく,
え/だ,枝,えだ,
え/だまめ,枝豆,えだまめ,
え/つらん,閲覧,えつらん,
え/と,干支,えと,
え\とう,江藤,えとう,
え/とく,会得,えとく,
え/どがわ\く,江戸川区,えどがわく,
え/のぐ,絵の具,えのぐ,
え/の\もと,榎本,えのもと,
え/は\がき,絵葉書,えはがき,
え\ひめ,愛媛,えひめ,
え/ひめ\けん,愛媛県,えひめけん,
え/び,海老,えび,
え/ほ\ん,絵本,えほん,
え/も\じ,絵文字,えもじ,
え/ら,鰓,えら,
え/ら\い,偉い,えらい,
え/ら\ぶ,選ぶ,えらぶ,
え/り\,襟,えり,
え\る,得る,える,
え\ん,円,えん,
え/んえん,延々,えんえん,
え\んか,演歌,えんか,
え/んかい,宴会,えんかい,
え/んき,延期,えんき,
え/んきょ\り,遠距離,えんきょり,
え\んぎ,演技,えんぎ,
え/んぎ,縁起,えんぎ,
え/んぎ\りょく,演技力,えんぎりょく,
え/んぐん,援軍,えんぐん,
え/んげき,演劇,えんげき,
え\んご,援護,えんご,
え/んし,遠視,えんし,
え/んしゅ\うりつ,円周率,えんしゅうりつ,
え/んしょう,炎症・延焼,えんしょう,
え\んじ,園児,えんじ,
え\んじょ,援助,えんじょ,
え/んじょう,炎上,えんじょう,
え/んせい,遠征,えんせい,
え/んぜつ,演説,えんぜつ,
え/んそ\うば,円相場,えんそうば,
え/んそく,遠足,えんそく,
え/んたい,延滞,えんたい,
え/んだか,円高,えんだか,
え\んちょう,園長,えんちょう,
え/んちょう,延長,えんちょう,
え/んちょうせん,延長戦・延長線,えんちょうせん,
え\んどう,遠藤,えんどう,
え/んぴつ,鉛筆,えんぴつ,
え/んやす,円安,えんやす,
え/んりょ,遠慮,えんりょ,
お/あがり\く/ださ\い,,おあがりください,
お/いくつ,お幾つ,おいくつ,
お/いしい,美味しい,おいしい,
お/いそがしい,お忙しい,おいそがしい,
お/いわい,お祝い,おいわい,
お\う,王,おう,
お/うさま,王様,おうさま,
お\うじ,王子,おうじ,
お\うじさま,王子様,おうじさま,
お\うじょ,王女,おうじょ,
お\うじょさま,王女様,おうじょさま,
お/おあ\ばれ,大暴れ,おおあばれ,
お\おい,多い,おおい,
お\おい,多い,おおい,
お\おいた,大分,おおいた,
お/おいた\けん,大分県,おおいたけん,
お/おいた\し,大分市,おおいたし,
お/おき\い,大きい,おおきい,
お/おきさ,大きさ,おおきさ,
お\おきな,大きな,おおきな,
お\おく,多く,おおく,
お/おくぼ,大久保,おおくぼ,
お/おさか,大阪,おおさか,
お/おさか\し,大阪市,おおさかし,
お/おさか\ふ,大阪府,おおさかふ,
お/おさわ,大沢,おおさわ,
お/おしま,大島,おおしま,
お/おぜ\い,大勢,おおぜい,
お/おぜい,大勢,おおぜい,
お/おた,太田,おおた,
お\おつ,大津,おおつ,
お/おつか,大塚,おおつか,
お/おつ\し,大津市,おおつし,
お/おにし,大西,おおにし,
お\おの,大野,おおの,
お/おはし,大橋,おおはし,
お/おば\やし,大林,おおばやし,
お/おみ\そか,大晦日,おおみそか,
お/おむら,大村,おおむら,
お/か\あさん,お母さん,おかあさん,
お/か\いけい,お会計,おかいけい,
お/かえりなさい,お帰りなさい,おかえりなさい,
お/かげさまで,お陰様で,おかげさまで,
お/か\ざき,岡崎,おかざき,
お/かし\い,可笑しい,おかしい,
お/かず,,おかず,
お/かだ,岡田,おかだ,
お/かね,お金,おかね,
お/かむら,岡村,おかむら,
お/かもと,岡本,おかもと,
お/か\やま,岡山,おかやま,
お/かやま\けん,岡山県,おかやまけん,
お/かやま\し,岡山市,おかやまし,
お/か\らだ,お体,おからだ,
お\がた,緒方,おがた,
お/がわ,小川,おがわ,
お/きなわ,沖縄,おきなわ,
お/きなわ\けん,沖縄県,おきなわけん,
お/きゃくさ\ま,お客様,おきゃくさま,
お/きゃくさん,お客さん,おきゃくさん,
お/き\る,起きる,おきる,
お\く,奥,おく,
お/く,置く,おく,
お\くさん,奥さん,おくさん,
お/くじょう,屋上,おくじょう,
お/くだ,奥田,おくだ,
お/くに,お国,おくに,
お/くりもの,贈り物,おくりもの,
お/くる,送る,おくる,
お/く\るま,お車,おくるま,
お/くれる,遅れる,おくれる,
お/ぐら,小倉・小椋,おぐら,
お/こさん,お子さん,おこさん,
お/こ\す,起こす,おこす,
お/こなう,行う,おこなう,
お/このみやき,お好み焼き,おこのみやき,
お/さけ,お酒,おさけ,
お/ざわ,小沢,おざわ,
お/しいれ,押し入れ,おしいれ,
お/しえる,教える,おしえる,
お/しゃ\べり,お喋り,おしゃべり,
お/しょうがつ\,お正月,おしょうがつ,
お/しらせ,お知らせ,おしらせ,
お/じ,伯父・叔父,おじ,
お/じ\いさん,お祖父さん・お爺さん,おじいさん,
