accent,kanji,yomi,english
む/げん,無限,むげん,
む\こ,婿,むこ,
む/こう,無効,むこう,
む/こ\う,向こう,むこう,
む/こ\くせき,無国籍,むこくせき,
む/こよ\うし,婿養子,むこようし,
む/ご\い,惨い,むごい,
む/ごん,無言,むごん,
む\ざい,無罪,むざい,
む/し,虫,むし,
む\し,無視,むし,
む/しあつ\い,蒸し暑い,むしあつい,
む/しさ\され,虫刺され,むしさされ,
む/しば,虫歯,むしば,
む/しめ\がね,虫眼鏡,むしめがね,
む/しゅう,無臭,むしゅう,
む/しゅ\うきょう,無宗教,むしゅうきょう,
む\しょく,無職,むしょく,
む/しる,毟る,むしる,
む/し\んけい,無神経,むしんけい,
む\じつ,無実,むじつ,
む\じゃき,無邪気,むじゃき,
む/じゅ\うりょく,無重力,むじゅうりょく,
む/じゅん,矛盾,むじゅん,
む/じょ\うけん,無条件,むじょうけん,
む/じんとう,無人島,むじんとう,
む\す,蒸す,むす,
む/すこ,息子,むすこ,
む/すこさん,息子さん,むすこさん,
む/すぶ,結ぶ,むすぶ,
む/すめ\,娘,むすめ,
む/すめさん,娘さん,むすめさん,
む/ずかしい,難しい,むずかしい,
む\ずむず,,むずむず,
む/せ\いげん,無制限,むせいげん,
む/せ\きにん,無責任,むせきにん,
む/せる,噎せる,むせる,
む/せん,無線,むせん,
む/だ,無駄,むだ,
む/だば\なし,無駄話,むだばなし,
む\ち,無知・鞭,むち,
む/ちうち,むち打ち,むちうち,
む\ちゃ,無茶,むちゃ,
む/ちゃくちゃ,無茶苦茶,むちゃくちゃ,
む/ちゅう,夢中,むちゅう,
む/っつ\り,,むっつり,
む/て\いこう,無抵抗,むていこう,
む/てき,無敵,むてき,
む/て\っぽう,無鉄砲,むてっぽう,
む/て\んか,無添加,むてんか,
む\とう,武藤,むとう,
む/と\くてん,無得点,むとくてん,
む/なげ,胸毛,むなげ,
む/なさ\わぎ,胸騒ぎ,むなさわぎ,
む/なし\い,虚しい,むなしい,
む/なもと,胸元,むなもと,
む\に,無二,むに,
む/ね\,胸・旨,むね,
む/ねやけ,胸焼け,むねやけ,
む\ねん,無念,むねん,
む/のう,無能,むのう,
む/はい,無配,むはい,
む/は\んのう,無反応,むはんのう,
む/め\んきょ,無免許,むめんきょ,
む\やみ,無闇,むやみ,
む/ら\,村,むら,
む/ら,斑,むら,
む/らかみ,村上,むらかみ,
む/ら\さき,紫,むらさき,
む/ら\す,蒸らす,むらす,
む/らた,村田,むらた,
む/らびと,村人,むらびと,
む\らむら,,むらむら,
む/らや\くば,村役場,むらやくば,
む\り,無理,むり,
む/りょう,無料,むりょう,
む/れ\る,蒸れる・群れる,むれる,
め\,目・芽,め,
め\あて,目当て,めあて,
め/い,姪,めい,
め/いあん,明暗・名案,めいあん,
め\いい,名医,めいい,
め/いかい,明快・明解,めいかい,
め/いかく,明確,めいかく,
め\いが,名画,めいが,
め\いき,明記・名器,めいき,
め/いきょく,名曲,めいきょく,
め/いぎ\,名義,めいぎ,
め/いげん,名言・明言,めいげん,
め/いごさん,姪御さん,めいごさん,
め/いさいしょ,明細書,めいさいしょ,
め/いさく,名作,めいさく,
め/いさん,名産,めいさん,
め/いし,名刺,めいし,
め/いし\いれ,名刺入れ,めいしいれ,
め/いしゃ,名車,めいしゃ,
め\いしゃ,目医者,めいしゃ,
め/いしゅ,銘酒・名酒,めいしゅ,
め\いしゅ,盟主,めいしゅ,
め/いしょ\,名所,めいしょ,
め/いしょう,名称,めいしょう,
め\いじ,明治,めいじ,
め/いじる,命じる,めいじる,
め/いじ\ん,名人,めいじん,
め/いすい,名水,めいすい,
め/いずる,命ずる,めいずる,
め/いせい,名声,めいせい,
め/いそう,瞑想・迷走,めいそう,
め/いちゅう,命中,めいちゅう,
め/いてん,名店,めいてん,
め/いど,冥途,めいど,
め\いにち,命日,めいにち,
め/いはく,明白,めいはく,
め/いひん,名品,めいひん,
め\いぶつ,名物,めいぶつ,
め/いぼ,名簿,めいぼ,
め/いめい,命名,めいめい,
め/いもく,名目,めいもく,
め/いもん,名門,めいもん,
め\いよ,名誉,めいよ,
め/いれい,命令,めいれい,
め\いろ,迷路,めいろ,
め\いわく,迷惑,めいわく,
め/うえ,目上,めうえ,
め/おと,夫婦,めおと,
め/か\くし,目隠し,めかくし,
め/が\しら,目頭,めがしら,
め\がね,眼鏡,めがね,
め\がみ,女神,めがみ,
め/きき\,目利き,めきき,
め\きめき,,めきめき,
め\くそ,目糞,めくそ,
め/く\ばり,目配り,めくばり,
め/くる,捲る,めくる,
め/くれる,捲れる,めくれる,
め/ぐ\すり,目薬,めぐすり,
め/ぐまれる,恵まれる,めぐまれる,
め/ぐむ,恵む,めぐむ,
め/ぐる,巡る,めぐる,
め/さき,目先,めさき,
め/ざし,目刺し,めざし,
め/ざ\まし,目覚まし,めざまし,
め/ざましど\けい,目覚まし時計,めざましどけい,
め/し\,飯,めし,
め/しあがる,召し上がる,めしあがる,
め/した\,目下,めした,
め\じり,目尻,めじり,
め/じ\るし,目印,めじるし,
め/す\,雌,めす,
め/ずらし\い,珍しい,めずらしい,
め\そめそ,,めそめそ,
め/だか,目高,めだか,
め/だ\つ,目立つ,めだつ,
め/だま\,目玉,めだま,
め/だまやき,目玉焼き,めだまやき,
め\ちゃ,目茶,めちゃ,
め/ちゃくちゃ,滅茶苦茶・目茶苦茶,めちゃくちゃ,
め/ちゃめちゃ,滅茶滅茶・目茶目茶,めちゃめちゃ,
め/っき,鍍金,めっき,
め/っき\り,,めっきり,
め\った,滅多,めった,
め/っちゃ,,めっちゃ,
め\つき,目付き,めつき,
め/つぼう,滅亡,めつぼう,
め/のま\え,目の前,めのまえ,
め/ま\い,目眩,めまい,
め/めし\し,女々しい,めめしし,
め/もと\,目元,めもと,
め/もり\,目盛り,めもり,
め/やす,目安,めやす,
め/やに\,目脂,めやに,
め\らめら,,めらめら,
め/んえき,免疫,めんえき,
め\んか,綿花,めんか,
め/んかい,面会,めんかい,
め\んきょ,免許,めんきょ,
め/んきょ\しょう,免許証,めんきょしょう,
め/んしき,面識,めんしき,
め\んじょ,免除,めんじょ,
め\んせき,面積,めんせき,
め/んせつ,面接,めんせつ,
め/んぜい,免税,めんぜい,
め/んぜ\いてん,免税店,めんぜいてん,
め/んだん,面談,めんだん,
め/んつ,面子,めんつ,
め/んど\う,面倒,めんどう,
め/んどうくさ\い,面倒くさい,めんどうくさい,
め\んぼう,綿棒,めんぼう,
め/んぼく,面目,めんぼく,
め/んぼくな\い,面目ない,めんぼくない,
め\んま,,めんま,
め/んみつ,綿密,めんみつ,
め/んめ\ん,面々,めんめん,
め\んるい,麺類・綿類,めんるい,
も\う,,もう,
も/ういちど,もう一度,もういちど,
も/うしこみ,申し込み,もうしこみ,
も/うしこ\む,申し込む,もうしこむ,
も\うしょ,猛暑,もうしょ,
も\うす,申す,もうす,
も/うす\ぐ,,もうすぐ,
も\うふ,毛布,もうふ,
も/える,燃える,もえる,
も/くてき,目的,もくてき,
も/くよ\うび,木曜日,もくようび,
も\し,,もし,
も\しも,,もしも,
も\しもし,,もしもし,
も/ち,餅,もち,
も/ち\づき,望月,もちづき,
も/ち\ろん,勿論,もちろん,
も/っていく,持っていく,もっていく,
も/ってく\る,持ってくる,もってくる,
も\っと,,もっと,
も/っと\も,最も・尤も,もっとも,
も\つ,持つ,もつ,
も\と,元,もと,
も/と\はし,本橋・元橋,もとはし,
も/ともと,,もともと,
も/とやま,本山,もとやま,
も/ど\す,戻す,もどす,
も/ど\る,戻る,もどる,
も/の\,物・者,もの,
も\みじ,紅葉,もみじ,
も/も,桃,もも,
も/もいろ,桃色,ももいろ,
も/らう,貰う,もらう,
も/り,森,もり,
も/り\おか,盛岡,もりおか,
も/りおか\し,盛岡市,もりおかし,
も/り\ぐち,森口・守口,もりぐち,
も\りた,森田,もりた,
も/りもと,森本,もりもと,
も/んだい,問題,もんだい,
や\がい,野外,やがい,
や/かん,,やかん,
や/きう\どん,焼きうどん,やきうどん,
や/きそば,焼きそば,やきそば,
や/きにく,焼肉,やきにく,
や/きゅう,野球,やきゅう,
や/く,焼く,やく,
や/くそく,約束,やくそく,
や/くだ\つ,役立つ,やくだつ,
や/く\に/た\つ,役に立つ,やくにたつ,
や/けど,火傷,やけど,
や/ける,焼ける,やける,
や/こうバ\ス,夜行バス,やこうバス,
や/さい,野菜,やさい,
や/さしい,優しい・易しい,やさしい,
や/じうま,野次馬,やじうま,
や/じ\るし,矢印,やじるし,
や/す\い,安い,やすい,
や/すだ,安田,やすだ,
や/すみ\,休み,やすみ,
や/す\む,休む,やすむ,
や/せが\まん,痩せ我慢,やせがまん,
や/せる,痩せる,やせる,
や\たい,屋台,やたい,
や\ちん,家賃,やちん,
や/っと,,やっと,
や/の,矢野,やの,
や/ば\い,,やばい,
や/ぶれ\る,破れる,やぶれる,
や/ま\,山,やま,
や/ま\うち,山内,やまうち,
や/ま\がた,山形,やまがた,
や/まがた\けん,山形県,やまがたけん,
や/まがた\し,山形市,やまがたし,
や/ま\ぐち,山口,やまぐち,
や/ま\ぐち,山口,やまぐち,
や/まぐち\けん,山口県,やまぐちけん,
や/まぐち\し,山口市,やまぐちし,
や/ま\さき,山崎,やまさき,
や/ま\ざき,山崎,やまざき,
や/ま\した,山下,やました,
や/まだ,山田,やまだ,
や/ま\なし,山梨,やまなし,
や/まなし\けん,山梨県,やまなしけん,
や/まのてせん,山手線,やまのてせん,
や/まの\ぼり,山登り,やまのぼり,
や/まもと,山本,やまもと,
や/む,止む,やむ,
や/める,辞める・止める,やめる,
や/る,,やる,
や/わらか\い,軟らかい,やわらかい,
ゆ\,湯,ゆ,
ゆ/あ\がり,湯上り,ゆあがり,
ゆ/あつ,油圧,ゆあつ,
ゆ\いいつ,唯一,ゆいいつ,
ゆ/いごん,遺言,ゆいごん,
ゆ/いごんじょう,遺言状,ゆいごんじょう,
ゆ/いのう,結納,ゆいのう,
ゆ/う,言う,ゆう,
ゆ/うい\ぎ,有意義,ゆういぎ,
ゆ/ううつ,憂鬱,ゆううつ,
ゆ/うえつ,優越,ゆうえつ,
ゆ/うえつ\かん,優越感,ゆうえつかん,
ゆ/うえ\んち,遊園地,ゆうえんち,
ゆ/うかい,誘拐,ゆうかい,
ゆ/うかん,勇敢・夕刊,ゆうかん,
ゆ\うが,優雅,ゆうが,
ゆ/うがい,有害,ゆうがい,
ゆ/うがた,夕方,ゆうがた,
ゆ\うき,勇気・有機,ゆうき,
ゆ/うき\ぶつ,有機物,ゆうきぶつ,
ゆ/うきゅうきゅ\うか,有給休暇,ゆうきゅうきゅうか,
ゆ/うぎじょう,遊技場,ゆうぎじょう,
ゆ\うぐ,遊具,ゆうぐ,
ゆ/うぐれ,夕暮れ,ゆうぐれ,
ゆ/うけ\んしゃ,有権者,ゆうけんしゃ,
ゆ/うげんが\いしゃ,有限会社,ゆうげんがいしゃ,
ゆ/うこう,有効・友好,ゆうこう,
ゆ/うこうきか\ん,有効期間,ゆうこうきかん,
ゆ/うこ\うこく,友好国,ゆうこうこく,
ゆ/うご\はん,夕御飯,ゆうごはん,
ゆ/うざい,有罪,ゆうざい,
ゆ\うし,融資・勇姿・勇士,ゆうし,
ゆ/うしゅう,優秀,ゆうしゅう,
ゆ/うしょう,優勝,ゆうしょう,
ゆ/うしょく,夕食,ゆうしょく,
ゆ/うしょくじ\んしゅ,有色人種,ゆうしょくじんしゅ,
ゆ/うじゅうふだん,優柔不断,ゆうじゅうふだん,
ゆ/うじょう,友情,ゆうじょう,
ゆ/うじん,友人,ゆうじん,
ゆ/うすう,有数,ゆうすう,
ゆ/うせい,優勢,ゆうせい,
ゆ\うせん,有線,ゆうせん,
ゆ/うせん,優先,ゆうせん,
ゆ/うせ\んけん,優先権,ゆうせんけん,
ゆ/うせんてき,優先的,ゆうせんてき,
ゆ/うせんほ\うそう,有線放送,ゆうせんほうそう,
ゆ/うそう,郵送,ゆうそう,
ゆ/うぞ\ら,夕空,ゆうぞら,
ゆ/うだい,雄大,ゆうだい,
ゆ/うだち,夕立,ゆうだち,
ゆ/うだ\んしゃ,有段者,ゆうだんしゃ,
ゆ\うち,誘致,ゆうち,
ゆ\うちょう,悠長,ゆうちょう,
ゆ/うと\うせい,優等生,ゆうとうせい,
ゆ/うどう,誘導,ゆうどう,
ゆ/うどく,有毒,ゆうどく,
ゆ/うはん,夕飯,ゆうはん,
ゆ/うひ,夕日,ゆうひ,
ゆ/うびん,郵便,ゆうびん,
ゆ/うび\んうけ,郵便受け,ゆうびんうけ,
ゆ/うび\んきょく,郵便局,ゆうびんきょく,
ゆ/うびんちょ\きん,郵便貯金,ゆうびんちょきん,
ゆ/うびんは\いたつ,郵便配達,ゆうびんはいたつ,
ゆ/うびんば\んごう,郵便番号,ゆうびんばんごう,
ゆ/うび\んぶつ,郵便物,ゆうびんぶつ,
ゆ/うびんポ\スト,郵便post,ゆうびんポスト,
ゆ\うふく,裕福,ゆうふく,
ゆ/うべ,昨夜,ゆうべ,
ゆ/うほ\どう,遊歩道,ゆうほどう,
ゆ/うめい,有名,ゆうめい,
ゆ/うめ\いこう,有名校,ゆうめいこう,
ゆ/うめ\いじん,有名人,ゆうめいじん,
ゆ/うめし,夕飯,ゆうめし,
ゆ/うやけ,夕焼け,ゆうやけ,
ゆ/うゆうじてき,悠々自適,ゆうゆうじてき,
ゆ\うよ,猶予,ゆうよ,
ゆ/うらん,遊覧,ゆうらん,
ゆ/うらんせん,遊覧船,ゆうらんせん,
ゆ/うりょう,有料・優良,ゆうりょう,
ゆ/うりょうど\うろ,有料道路,ゆうりょうどうろ,
ゆ/うりょく,有力,ゆうりょく,
ゆ\うれい,幽霊,ゆうれい,
ゆ/うわく,誘惑,ゆうわく,
ゆ/えん,所以,ゆえん,
ゆ/か,床,ゆか,
ゆ\かい,愉快,ゆかい,
ゆ/か\げん,湯加減,ゆかげん,
ゆ/かした,床下,ゆかした,
ゆ/かた,浴衣,ゆかた,
ゆ/かだ\んぼう,床暖房,ゆかだんぼう,
ゆ/かめ\んせき,床面積,ゆかめんせき,
ゆ\かわ,湯川,ゆかわ,
ゆ/がみ\,歪み,ゆがみ,
ゆ/が\む,歪む,ゆがむ,
ゆ/がめ\る,歪める,ゆがめる,
ゆ/き\,雪,ゆき,
ゆ/きあ\そび,雪遊び,ゆきあそび,
ゆ/きお\とこ,雪男,ゆきおとこ,
ゆ/きお\ろし,雪下し,ゆきおろし,
ゆ/きお\んな,雪女,ゆきおんな,
ゆ/きか\き,雪掻き,ゆきかき,
ゆ/きが\っせん,雪合戦,ゆきがっせん,
ゆ/き\ぐに,雪国,ゆきぐに,
ゆ/きげ\しき,雪景色,ゆきげしき,
ゆ/きどけ,雪解け,ゆきどけ,
ゆ/きま\つり,雪祭り,ゆきまつり,
ゆ/き\みち,雪道,ゆきみち,
ゆ/きやま,雪山,ゆきやま,
ゆ/くえ,行方,ゆくえ,
ゆ/くえふ\めい,行方不明,ゆくえふめい,
ゆ/けつ,輸血,ゆけつ,
ゆ/け\むり,湯煙,ゆけむり,
ゆ\げ,湯気,ゆげ,
ゆ\さゆさ,,ゆさゆさ,
ゆ/ざめ\,湯冷め,ゆざめ,
ゆ/しゅつ,輸出,ゆしゅつ,
ゆ/しゅつ\こく,輸出国,ゆしゅつこく,
ゆ/すぎ,濯ぎ,ゆすぎ,
ゆ/すぐ,濯ぐ,ゆすぐ,
ゆ/すり,強請り,ゆすり,
ゆ/する,揺する・強請る,ゆする,
ゆ\ず,柚,ゆず,
ゆ/ずる,譲る,ゆずる,
ゆ/そう,輸送,ゆそう,
ゆ/そ\うひ,輸送費,ゆそうひ,
ゆ/そ\うりょう,輸送量,ゆそうりょう,
ゆ\たか,豊か,ゆたか,
ゆ/た\んぽ,湯たんぽ,ゆたんぽ,
ゆ/だね\る,委ねる,ゆだねる,
ゆ/だん,油断,ゆだん,
ゆ/だんたいてき,油断大敵,ゆだんたいてき,
ゆ/っく\り,,ゆっくり,
ゆ/でた\まご,ゆで卵,ゆでたまご,
ゆ/で\る,茹でる,ゆでる,
ゆ/でん,油田,ゆでん,
ゆ/とり,,ゆとり,
ゆ/ど\うふ,湯豆腐,ゆどうふ,
ゆ/にゅう,輸入,ゆにゅう,
ゆ/にゅうひん,輸入品,ゆにゅうひん,
ゆ/のみ\,湯呑,ゆのみ,
ゆ/のみじゃ\わん,湯呑茶碗,ゆのみじゃわん,
ゆ/び\,指,ゆび,
ゆ/びき\り,指切り,ゆびきり,
ゆ/びさき\,指先,ゆびさき,
ゆ/びさ\す,指差す,ゆびさす,
ゆ/びず\もう,指相撲,ゆびずもう,
ゆ/びに\んぎょう,指人形,ゆびにんぎょう,
ゆ/びわ,指輪,ゆびわ,
ゆ\ぶね,湯船,ゆぶね,
ゆ/み\や,弓矢,ゆみや,
ゆ/め\,夢,ゆめ,
ゆ/めう\らない,夢占い,ゆめうらない,
ゆ/め\にも,夢にも,ゆめにも,
ゆ/めものが\たり,夢物語,ゆめものがたり,
ゆ/らい,由来,ゆらい,
ゆ/らす,揺らす,ゆらす,
ゆ\らゆら,揺ら揺ら,ゆらゆら,
ゆ/り,百合,ゆり,
ゆ/りかご,揺り籠,ゆりかご,
ゆ/る\い,緩い,ゆるい,
ゆ/る\す,許す,ゆるす,
ゆ/る\む,緩む,ゆるむ,
ゆ/るめ\る,緩める,ゆるめる,
ゆ/る\やか,緩やか,ゆるやか,
ゆ/れ,揺れ,ゆれ,
ゆ/れる,揺れる,ゆれる,
よ/あけ,夜明け,よあけ,
よ\い,良い,よい,
よ\う,酔う,よう,
よ\うい,用意,ようい,
よ/うかい,妖怪,ようかい,
よ/うしつ,洋室,ようしつ,
よ/うしょく,洋食,ようしょく,
よ/うじ,用事,ようじ,
よ/うす,様子,ようす,
よ\うち,用地,ようち,
よ/うち,幼稚,ようち,
よ/うち\えん,幼稚園,ようちえん,
よ/うふう,洋風,ようふう,
よ/うふく,洋服,ようふく,
よ\く,,よく,
よ/こ,横,よこ,
よ/こすか,横須賀,よこすか,
よ/こすか\し,横須賀市,よこすかし,
よ\こた,横田,よこた,
よ/こはま,横浜,よこはま,
よ/こはま\し,横浜市,よこはまし,
よ/こ\やま,横山,よこやま,
よ/ごす,汚す,よごす,
よ/ごれる,汚れる,よごれる,
よ/し\おか,吉岡,よしおか,
よ/し\かわ,吉川,よしかわ,
よ/しだ,吉田,よしだ,
よ/し\むら,吉村,よしむら,
よ/しゅう,予習,よしゅう,
よ/てい,予定,よてい,
よ/ていひょう,予定表,よていひょう,
よ/ね\かわ,米川,よねかわ,
よ/ね\むら,米村,よねむら,
よ/ぶ,呼ぶ,よぶ,
よ\む,読む,よむ,
よ/やく,予約,よやく,
よ/る,因る・寄る,よる,
よ\る,選る・縒る,よる,
よ\る,夜,よる,
よ/わ\い,弱い,よわい,
ら\いう,雷雨,らいう,
ら\いき,来期,らいき,
ら\いげつ,来月,らいげつ,
ら/いしゅう,来週,らいしゅう,
ら/いにち,来日,らいにち,
ら/いねん,来年,らいねん,
ら/く\,楽,らく,
ら/くがき,落書き,らくがき,
ら/くらい,落雷,らくらい,
ら/くら\く,楽々,らくらく,
ら\ち,埒・拉致,らち,
ら/っか,落下,らっか,
ら\ん,欄,らん,
ら/んがい,欄外,らんがい,
ら\んし,卵子,らんし,
ら/んし,乱視,らんし,
ら/んぼう,乱暴,らんぼう,
り\えき,利益,りえき,
り\か,理科,りか,
り\かい,理解,りかい,
り\かいします,,りかいします,
り\きし,力士,りきし,
り/く,陸,りく,
り/けい,理系,りけい,
り/こう,利口 / 履行,りこう,
り/こてき,利己的,りこてき,
り/こん,離婚,りこん,
り/こんしま\す,,りこんします,
り\し,利子,りし,
り\す,栗鼠,りす,
り/そう,理想,りそう,
り/そうきょう,理想郷,りそうきょう,
り/そうてき,理想的,りそうてき,
り/てん,利点,りてん,
り\ねん,理念,りねん,
り/ふ\じん,理不尽,りふじん,
りゃ\く,略,りゃく,
りゃ/くしま\す,,りゃくします,
りゅ/うがく,留学,りゅうがく,
りゅ/うがくしま\す,,りゅうがくします,
りゅ/うが\くせい,留学生,りゅうがくせい,
りゅ/うこう,流行,りゅうこう,
りゅ/うちじょ,留置所,りゅうちじょ,
りゅ/うねん,留年,りゅうねん,
り/ゆう,理由,りゆう,
りょ\う,量 / 寮,りょう,
りょ/うあし,両足,りょうあし,
りょ/うがえ,両替,りょうがえ,
りょ\うきん,料金,りょうきん,
りょ\うし,漁師,りょうし,
りょ\うしゃ,両者,りょうしゃ,
りょ/うしゅうしょ,領収書,りょうしゅうしょ,
りょ\うしん,両親,りょうしん,
りょ/うて,両手,りょうて,
りょ\うり,料理,りょうり,
りょ/うりにん,料理人,りょうりにん,
りょ/かん,旅館,りょかん,
りょ/くちゃ,緑茶,りょくちゃ,
りょ/こう,旅行,りょこう,
りょ/こうしま\す,,りょこうします,
りょ/こ\うしゃ,旅行者 / 旅行社,りょこうしゃ,
り/よう,利用,りよう,
り/ようしま\す,,りようします,
り/よ\うしゃ,利用者,りようしゃ,
り/れきしょ,履歴書,りれきしょ,
り/んご,林檎,りんご,
る/いぎご,類義語,るいぎご,
る/いけい,累計,るいけい,
る/いじひん,類似品,るいじひん,
る/いせき,累積,るいせき,
る\す,留守,るす,
る/すばん,留守番,るすばん,
る/すばんで\んわ,留守番電話,るすばんでんわ,
る\つぼ,坩堝,るつぼ,
れ\い,例,れい,
れ\いか,冷夏・零下,れいか,
れ/いぞ\うこ,冷蔵庫,れいぞうこ,
れ/いと\うこ,冷凍庫,れいとうこ,
れ/いぶん,例文,れいぶん,
れ/いぼう,冷房,れいぼう,
れ/いわ,令和,れいわ,
れ/きし,歴史,れきし,
れ/んあい,恋愛,れんあい,
れ/んきゅう,連休,れんきゅう,
れ/んしゅう,練習,れんしゅう,
れ/んぞく,連続,れんぞく,
れ/んらく,連絡,れんらく,
ろ/うか,廊下,ろうか,
ろ/うご,老後,ろうご,
ろ/うじん,老人,ろうじん,
ろ/うじんホ\ーム,老人ホーム,ろうじんホーム,
ろ/うそく,蝋燭,ろうそく,
ろ/うどう,労働,ろうどう,
ろ/うどうく\みあい,労働組合,ろうどうくみあい,
ろ/うど\うしゃ,労働者,ろうどうしゃ,
ろ/うにん,浪人,ろうにん,
ろ/うにん,浪人,ろうにん,
ろ/うに\んせい,浪人生,ろうにんせい,
ろ\うば,老婆,ろうば,
ろ/うふ\うふ,老夫婦,ろうふうふ,
ろ/くおん,録音,ろくおん,
ろ/くが,録画,ろくが,
ろ/こつ,露骨,ろこつ,
ろ/しゅつ,露出,ろしゅつ,
ろ\じ,路地,ろじ,
ろ/じうら,路地裏,ろじうら,
ろ/せん,路線,ろせん,
ろ/せ\んず,路線図,ろせんず,
ろ/っぽんぎ,六本木,ろっぽんぎ,
ろ/てん,露店,ろてん,
ろ\んがい,論外,ろんがい,
ろ/んぶん,論文,ろんぶん,
わ\いわい,,わいわい,
わ/か\い,若い,わかい,
わ/かす,沸かす,わかす,
わ/かもの,若者,わかもの,
わ/か\やま,和歌山,わかやま,
わ/かやま\けん,和歌山県,わかやまけん,
わ/かやま\し,和歌山市,わかやまし,
わ/か\る,分かる,わかる,
わ/かれ\る,別れる,わかれる,
わ/かわかし\い,若々しい,わかわかしい,
わ/がま\ま,我侭,わがまま,
わ\きた,脇田,わきた,
わ\くわく,,わくわく,
わ\け,訳,わけ,
わ\さび,山葵,わさび,
わ/ざ\,技,わざ,
わ\ざと,,わざと,
わ\ざわざ,態々,わざわざ,
わ/し,儂・鷲,わし,
わ\し,和紙,わし,
わ\しだ,鷲田,わしだ,
わ/しつ,和室,わしつ,
わ/しょく,和食,わしょく,
わ/すれもの,忘れ物,わすれもの,
わ/すれる,忘れる,わすれる,
わ\ずか,僅か,わずか,
わ/たし,私,わたし,
わ/たし\たち,私達,わたしたち,
わ/たす,渡す,わたす,
わ/たなべ,渡辺,わたなべ,
わ\たべ,渡部,わたべ,
わ/たりろ\うか,渡り廊下,わたりろうか,
わ/たる,渡る,わたる,
わ/だ,和田,わだ,
わ/ふう,和風,わふう,
わ/ふく,和服,わふく,
わ/らいば\なし,笑い話,わらいばなし,
わ/らう,笑う,わらう,
わ/りかん,割り勘,わりかん,
わ/りこ\む,割り込む,わりこむ,
わ/り\ざん,割り算,わりざん,
わ/りばし,割り箸,わりばし,
わ/りびき,割引,わりびき,
わ/る,割る,わる,
わ/る\い,悪い,わるい,
わ/れる,割れる,われる,
わ/ゴム,輪ゴム,わゴム,
ア\イコン,,アイコン,icon
ア/イコ\ンタクト,,アイコンタクト,eye contact
ア/イシャ\ドー,,アイシャドー,eye shadow
ア\イス,,アイス,ice
ア/イスクリ\ーム,,アイスクリーム,ice cream
ア/イスコーヒ\ー,,アイスコーヒー,ice coffee
ア/イススケ\ート,,アイススケート,ice skate
ア/イス\ティー,,アイスティー,ice tea
ア/イスホ\ッケー,,アイスホッケー,ice hockey
ア/イティ\ー,,アイティー,IT
ア\イテム,,アイテム,item
ア\イデア,,アイデア,idea
ア\イドル,,アイドル,idol
ア\イヌ,,アイヌ,
ア/イロン,,アイロン,iron
ア\ウト,,アウト,out
ア/ウトド\ア,,アウトドア,outdoor
ア/キレス\けん,アキレス腱,アキレスけん,Achilles
ア\クシデント,,アクシデント,accident
ア\クション,,アクション,action
ア\クセサリー,,アクセサリー,accessory
ア\クセス,,アクセス,access
ア\クセント,,アクセント,accent
ア/シ\スタント,,アシスタント,assistant
ア\ジア,,アジア,Asia
ア\ジト,,アジト,
ア/スファ\ルト,,アスファルト,asphalt
ア/セ\アン,,アセアン,ASEAN
ア/ダ\ルト,,アダルト,adult
ア/ットホ\ーム,,アットホーム,at home
ア\ップ,,アップ,up
ア/ップデ\ート,,アップデート,update
ア\ップル,,アップル,apple
ア/ップル\パイ,,アップルパイ,apple pie
ア/ップロ\ード,,アップロード,upload
ア/トラ\クション,,アトラクション,attraction
ア/トリエ,,アトリエ,atelier
ア\ドバイス,,アドバイス,advice
ア/ドリブ,,アドリブ,ad lib
ア/ドレス,,アドレス,address
ア/ドレスちょう,アドレス帳,アドレスちょう,address
ア/ナウ\ンサー,,アナウンサー,announcer
ア/ナログ,,アナログ,analog
ア\ニメ,,アニメ,anime
ア/パ\ート,,アパート,apartment house
ア/ピ\ール,,アピール,appeal
ア/フターケ\ア,,アフターケア,aftercare
ア/フターサ\ービス,,アフターサービス,after service
ア/フリカ,,アフリカ,Africa
ア\プリ,,アプリ,application
ア/プリケ\ーション,,アプリケーション,application
ア/プロ\ーチ,,アプローチ,approach
ア/ムステ\ルダム,,アムステルダム,Amsterdam
ア/メフト,,アメフト,American football
ア/メリカ,,アメリカ,America
ア/メリカがっしゅ\うこく,アメリカ合衆国,アメリカがっしゅうこく,America
ア/メリカ\じん,アメリカ人,アメリカじん,
ア/メリカンフットボ\ール,,アメリカンフットボール,American football
ア/ユタヤ,,アユタヤ,Ayuttaya
ア\ラブ,,アラブ,Arab
ア/ラ\ーム,,アラーム,alarm
ア/ルちゅう,,アルちゅう,alcohol中毒
ア/ルコール,,アルコール,alcohol
ア/ルコールちゅ\うどく,,アルコールちゅうどく,alcohol中毒
ア/ルゼ\ンチン,,アルゼンチン,Argentine
ア/ルバ\イト,,アルバイト,arbeit
ア/ルバム,,アルバム,album
ア/ルファベ\ット,,アルファベット,alphabet
ア\ルプス,,アルプス,Alps
ア/ルミ,,アルミ,aluminium
ア/ルミ\はく,アルミ箔,アルミはく,aluminium
ア/ルミニ\ウム,,アルミニウム,aluminium
ア/ルミホ\イル,,アルミホイル,aluminium foil
ア/レ\ルギー,,アレルギー,Allergie
ア/レ\ンジ,,アレンジ,arrange
ア\ンカー,,アンカー,anchor
ア\ングル,,アングル,angle
ア\ンケート,,アンケート,enquete
ア/ンコ\ール,,アンコール,encore
